Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,-1.214e-05
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH2
-1.0121e-03,0.0008
-1.0119e-03,0.0004
-1.0117e-03,0.0004
-1.0115e-03,0.0004
-1.0113e-03,0.0004
-1.0111e-03,0
-1.0109e-03,0.0008
-1.0107e-03,-0.0004
-1.0105e-03,0.0004
-1.0103e-03,0
-1.0101e-03,-0.0004
-1.0099e-03,-0.0004
-1.0097e-03,0.0004
-1.0095e-03,0.0008
-1.0093e-03,0.0004
-1.0091e-03,0.0004
-1.0089e-03,0
-1.0087e-03,0
-1.0085e-03,0
-1.0083e-03,0
-1.0081e-03,0
-1.0079e-03,0.0004
-1.0077e-03,0
-1.0075e-03,0.0004
-1.0073e-03,0
-1.0071e-03,0
-1.0069e-03,0.0008
-1.0067e-03,0.0008
-1.0065e-03,-0.0004
-1.0063e-03,0.0004
-1.0061e-03,0.0004
-1.0059e-03,0
-1.0057e-03,0
-1.0055e-03,-0.0004
-1.0053e-03,0.0004
-1.0051e-03,0.0008
-1.0049e-03,0.0008
-1.0047e-03,0.0012
-1.0045e-03,0.0008
-1.0043e-03,0.0008
-1.0041e-03,0
-1.0039e-03,0
-1.0037e-03,0.0004
-1.0035e-03,-0.0004
-1.0033e-03,0.0008
-1.0031e-03,0.0008
-1.0029e-03,-0.0004
-1.0027e-03,0.0008
-1.0025e-03,0.0004
-1.0023e-03,-0.0012
-1.0021e-03,0.0004
-1.0019e-03,0.0004
-1.0017e-03,0.0008
-1.0015e-03,0.0012
-1.0013e-03,0
-1.0011e-03,0.0008
-1.0009e-03,0.0008
-1.0007e-03,0.0008
-1.0005e-03,0.0004
-1.0003e-03,0.0004
-1.0001e-03,0.0008
-9.9994e-04,0
-9.9974e-04,0
-9.9954e-04,0
-9.9934e-04,0.0004
-9.9914e-04,0
-9.9894e-04,0
-9.9874e-04,0.0004
-9.9854e-04,0
-9.9834e-04,0.0008
-9.9814e-04,-0.0004
-9.9794e-04,0
-9.9774e-04,0.0004
-9.9754e-04,0
-9.9734e-04,0
-9.9714e-04,-0.0004
-9.9694e-04,0.0004
-9.9674e-04,0
-9.9654e-04,0
-9.9634e-04,0.0004
-9.9614e-04,0
-9.9594e-04,0.0004
-9.9574e-04,0.0008
-9.9554e-04,0.0008
-9.9534e-04,0.0008
-9.9514e-04,-0.0004
-9.9494e-04,0.0012
-9.9474e-04,0.0008
-9.9454e-04,0.0008
-9.9434e-04,0.0008
-9.9414e-04,0.0004
-9.9394e-04,0
-9.9374e-04,0
-9.9354e-04,0.0004
-9.9334e-04,0.0008
-9.9314e-04,-0.0004
-9.9294e-04,0.0008
-9.9274e-04,0.0004
-9.9254e-04,0.0008
-9.9234e-04,0
-9.9214e-04,-0.0004
-9.9194e-04,0
-9.9174e-04,-0.0008
-9.9154e-04,0.0004
-9.9134e-04,0.0004
-9.9114e-04,0.0008
-9.9094e-04,0.0004
-9.9074e-04,0.0008
-9.9054e-04,0.0008
-9.9034e-04,0.0008
-9.9014e-04,0.0004
-9.8994e-04,0.0012
-9.8974e-04,0
-9.8954e-04,0.0004
-9.8934e-04,0
-9.8914e-04,-0.0004
-9.8894e-04,0.0004
-9.8874e-04,0
-9.8854e-04,0
-9.8834e-04,0.0004
-9.8814e-04,0.0008
-9.8794e-04,0
-9.8774e-04,0.0004
-9.8754e-04,0
-9.8734e-04,0
-9.8714e-04,0.0004
-9.8694e-04,0.0004
-9.8674e-04,-0.0004
-9.8654e-04,0
-9.8634e-04,0.0012
-9.8614e-04,0
-9.8594e-04,0
-9.8574e-04,0.0008
-9.8554e-04,0.0004
-9.8534e-04,0
-9.8514e-04,0
-9.8494e-04,0
-9.8474e-04,-0.0004
-9.8454e-04,0.0004
-9.8434e-04,0.0004
-9.8414e-04,0
-9.8394e-04,-0.0004
-9.8374e-04,0.0004
-9.8354e-04,-0.0004
-9.8334e-04,0.0012
-9.8314e-04,0
-9.8294e-04,0
-9.8274e-04,0
-9.8254e-04,-0.0004
-9.8234e-04,0
-9.8214e-04,0
-9.8194e-04,0.0004
-9.8174e-04,0
-9.8154e-04,0.0012
-9.8134e-04,0.0004
-9.8114e-04,0
-9.8094e-04,0.0004
-9.8074e-04,0.0008
-9.8054e-04,0.0004
-9.8034e-04,0
-9.8014e-04,0.0004
-9.7994e-04,0.0004
-9.7974e-04,0
-9.7954e-04,0.0008
-9.7934e-04,0.0004
-9.7914e-04,0.0004
-9.7894e-04,0
-9.7874e-04,0.0008
-9.7854e-04,0.0004
-9.7834e-04,0.0004
-9.7814e-04,0.0004
-9.7794e-04,0.0008
-9.7774e-04,0.0012
-9.7754e-04,0
-9.7734e-04,0
-9.7714e-04,0
-9.7694e-04,0.0008
-9.7674e-04,-0.0004
-9.7654e-04,0.0004
-9.7634e-04,0.0012
-9.7614e-04,-0.0008
-9.7594e-04,0.0008
-9.7574e-04,0
-9.7554e-04,0.0008
-9.7534e-04,0.0004
-9.7514e-04,0
-9.7494e-04,0.0004
-9.7474e-04,0
-9.7454e-04,0.0004
-9.7434e-04,0.0008
-9.7414e-04,0.0004
-9.7394e-04,0
-9.7374e-04,0.0004
-9.7354e-04,0.0004
-9.7334e-04,0.0008
-9.7314e-04,0.0004
-9.7294e-04,0.0008
-9.7274e-04,0
-9.7254e-04,0.0004
-9.7234e-04,0.0008
-9.7214e-04,0.0004
-9.7194e-04,0.0008
-9.7174e-04,-0.0004
-9.7154e-04,0.0004
-9.7134e-04,0.0008
-9.7114e-04,0
-9.7094e-04,0.0008
-9.7074e-04,0.0008
-9.7054e-04,0.0008
-9.7034e-04,-0.0004
-9.7014e-04,0
-9.6994e-04,0.0004
-9.6974e-04,0.0008
-9.6954e-04,-0.0004
-9.6934e-04,-0.0008
-9.6914e-04,0.0008
-9.6894e-04,-0.0004
-9.6874e-04,0.0004
-9.6854e-04,0.0004
-9.6834e-04,0.0008
-9.6814e-04,0.0008
-9.6794e-04,0.0008
-9.6774e-04,0
-9.6754e-04,0.0008
-9.6734e-04,-0.0004
-9.6714e-04,0
-9.6694e-04,0.0008
-9.6674e-04,0.0008
-9.6654e-04,0.0004
-9.6634e-04,0
-9.6614e-04,0
-9.6594e-04,0.0004
-9.6574e-04,-0.0004
-9.6554e-04,0.0008
-9.6534e-04,-0.0004
-9.6514e-04,0.0004
-9.6494e-04,0.0004
-9.6474e-04,0
-9.6454e-04,0.0004
-9.6434e-04,0.0008
-9.6414e-04,0.0004
-9.6394e-04,0
-9.6374e-04,0.0008
-9.6354e-04,-0.0004
-9.6334e-04,0.0004
-9.6314e-04,0.0008
-9.6294e-04,-0.0004
-9.6274e-04,0.0008
-9.6254e-04,0.0008
-9.6234e-04,0
-9.6214e-04,0.0004
-9.6194e-04,-0.0004
-9.6174e-04,0.0004
-9.6154e-04,0
-9.6134e-04,0
-9.6114e-04,0.0004
-9.6094e-04,0.0004
-9.6074e-04,0
-9.6054e-04,-0.0004
-9.6034e-04,0
-9.6014e-04,0.0008
-9.5994e-04,0
-9.5974e-04,0.0008
-9.5954e-04,0.0004
-9.5934e-04,0.0004
-9.5914e-04,0
-9.5894e-04,0.0012
-9.5874e-04,0
-9.5854e-04,0
-9.5834e-04,0.0004
-9.5814e-04,-0.0004
-9.5794e-04,0.0004
-9.5774e-04,0.0008
-9.5754e-04,0
-9.5734e-04,0.0004
-9.5714e-04,0.0008
-9.5694e-04,0
-9.5674e-04,0.0008
-9.5654e-04,-0.0004
-9.5634e-04,0
-9.5614e-04,0
-9.5594e-04,0.0008
-9.5574e-04,0.0008
-9.5554e-04,0
-9.5534e-04,0
-9.5514e-04,0.0008
-9.5494e-04,0.0004
-9.5474e-04,0.0008
-9.5454e-04,0
-9.5434e-04,0
-9.5414e-04,-0.0004
-9.5394e-04,0.0004
-9.5374e-04,-0.0004
-9.5354e-04,0.0004
-9.5334e-04,0.0008
-9.5314e-04,-0.0004
-9.5294e-04,-0.0004
-9.5274e-04,0.0012
-9.5254e-04,0.0004
-9.5234e-04,0.0004
-9.5214e-04,0
-9.5194e-04,0.0008
-9.5174e-04,0
-9.5154e-04,0.0004
-9.5134e-04,0.0004
-9.5114e-04,0.0004
-9.5094e-04,0.0004
-9.5074e-04,0.0004
-9.5054e-04,0
-9.5034e-04,0.0004
-9.5014e-04,0.0004
-9.4994e-04,0.0004
-9.4974e-04,0.0004
-9.4954e-04,0.0008
-9.4934e-04,0
-9.4914e-04,0.0012
-9.4894e-04,0.0004
-9.4874e-04,0
-9.4854e-04,0
-9.4834e-04,0.0004
-9.4814e-04,-0.0004
-9.4794e-04,0.0008
-9.4774e-04,0.0008
-9.4754e-04,-0.0004
-9.4734e-04,0.0004
-9.4714e-04,0.0004
-9.4694e-04,-0.0004
-9.4674e-04,0.0004
-9.4654e-04,0.0008
-9.4634e-04,0
-9.4614e-04,0.0008
-9.4594e-04,0
-9.4574e-04,0.0004
-9.4554e-04,0.0008
-9.4534e-04,0
-9.4514e-04,0.0008
-9.4494e-04,-0.0004
-9.4474e-04,0
-9.4454e-04,0.0004
-9.4434e-04,0.0004
-9.4414e-04,0.0004
-9.4394e-04,0
-9.4374e-04,0.0008
-9.4354e-04,0
-9.4334e-04,-0.0004
-9.4314e-04,0.0012
-9.4294e-04,0.0008
-9.4274e-04,0.0004
-9.4254e-04,0.0004
-9.4234e-04,0.0008
-9.4214e-04,0
-9.4194e-04,0.0012
-9.4174e-04,0.0008
-9.4154e-04,0.0008
-9.4134e-04,0
-9.4114e-04,0
-9.4094e-04,0
-9.4074e-04,0.0004
-9.4054e-04,0
-9.4034e-04,0.0004
-9.4014e-04,0.0008
-9.3994e-04,0.0004
-9.3974e-04,0
-9.3954e-04,0.0008
-9.3934e-04,0.0016
-9.3914e-04,0
-9.3894e-04,-0.0004
-9.3874e-04,0.0004
-9.3854e-04,0
-9.3834e-04,0.0004
-9.3814e-04,0.0004
-9.3794e-04,-0.0004
-9.3774e-04,-0.0004
-9.3754e-04,0
-9.3734e-04,0.0008
-9.3714e-04,-0.0004
-9.3694e-04,0.0004
-9.3674e-04,0.0004
-9.3654e-04,0.0008
-9.3634e-04,0.0004
-9.3614e-04,0.0012
-9.3594e-04,0.0008
-9.3574e-04,0
-9.3554e-04,0.0008
-9.3534e-04,0.0008
-9.3514e-04,0.0008
-9.3494e-04,0.0008
-9.3474e-04,0.0004
-9.3454e-04,0.0012
-9.3434e-04,0.0004
-9.3414e-04,-0.0004
-9.3394e-04,0.0008
-9.3374e-04,0
-9.3354e-04,0.0008
-9.3334e-04,0.0004
-9.3314e-04,0.0008
-9.3294e-04,-0.0004
-9.3274e-04,-0.0008
-9.3254e-04,0.0004
-9.3234e-04,0.0008
-9.3214e-04,0
-9.3194e-04,0.0004
-9.3174e-04,0
-9.3154e-04,0.0004
-9.3134e-04,0.0008
-9.3114e-04,0.0008
-9.3094e-04,0
-9.3074e-04,0.0008
-9.3054e-04,0
-9.3034e-04,0.0004
-9.3014e-04,0.0004
-9.2994e-04,0
-9.2974e-04,0.0004
-9.2954e-04,0.0004
-9.2934e-04,0.0012
-9.2914e-04,0
-9.2894e-04,0
-9.2874e-04,0.0004
-9.2854e-04,0.0004
-9.2834e-04,0.0012
-9.2814e-04,0.0004
-9.2794e-04,0.0008
-9.2774e-04,0.0004
-9.2754e-04,0.0004
-9.2734e-04,0.0004
-9.2714e-04,0.0004
-9.2694e-04,0.0012
-9.2674e-04,0
-9.2654e-04,0.0004
-9.2634e-04,0
-9.2614e-04,0.0012
-9.2594e-04,0.0004
-9.2574e-04,-0.0004
-9.2554e-04,0.0004
