      1024 ,        8 ,    22.7273 ,  86.23
      1024 ,       32 ,    20.4082 ,  84.57
      1024 ,       64 ,    20.8333 ,  82.13
      1024 ,      128 ,    20.0000 ,  85.06
      1024 ,      256 ,    16.6667 ,  84.77
      1024 ,      512 ,    20.4082 ,  83.59
      1024 ,     1024 ,    20.0000 ,  85.06
      4096 ,        8 ,    74.0741 ,  83.52
      4096 ,       32 ,    67.7966 ,  83.18
      4096 ,       64 ,    75.4717 ,  83.94
      4096 ,      128 ,    66.6667 ,  84.64
      4096 ,      256 ,    81.6327 ,  83.33
      4096 ,      512 ,    75.4717 ,  83.91
      4096 ,     1024 ,    80.0000 ,  84.06
     16384 ,        8 ,   280.7017 ,  83.85
     16384 ,       32 ,   320.0000 ,  83.79
     16384 ,       64 ,   320.0000 ,  83.54
     16384 ,      128 ,   280.7017 ,  83.84
     16384 ,      256 ,   320.0000 ,  84.00
     16384 ,      512 ,   320.0000 ,  84.06
     16384 ,     1024 ,   290.9091 ,  83.76
     65536 ,        8 ,  1022.9770 ,  83.61
     65536 ,       32 ,  1085.3206 ,  83.84
     65536 ,       64 ,  1254.1335 ,  83.89
     65536 ,      128 ,  1211.1177 ,  84.04
     65536 ,      256 ,  1175.6602 ,  83.83
     65536 ,      512 ,  1261.0837 ,  83.98
     65536 ,     1024 ,  1256.4418 ,  83.95
    262144 ,        8 ,  2332.5741 ,  83.88
    262144 ,       32 ,  3769.9033 ,  83.80
    262144 ,       64 ,  4280.0417 ,  83.95
    262144 ,      128 ,  4765.5612 ,  83.83
    262144 ,      256 ,  4357.4468 ,  83.81
    262144 ,      512 ,  4350.5045 ,  83.83
    262144 ,     1024 ,  4508.5306 ,  83.75
   1048576 ,        8 ,  3857.3278 ,  83.87
   1048576 ,       32 ,  9700.4141 ,  83.79
   1048576 ,       64 , 12185.9428 ,  83.83
   1048576 ,      128 , 13060.1833 ,  83.82
   1048576 ,      256 , 13325.7416 ,  83.86
   1048576 ,      512 , 12637.1001 ,  83.83
   1048576 ,     1024 , 12641.9756 ,  83.83
   2097152 ,        8 ,  4216.1606 ,  83.79
   2097152 ,       32 , 12136.2960 ,  83.81
   2097152 ,       64 , 18073.9111 ,  83.79
   2097152 ,      128 , 19627.4331 ,  83.77
   2097152 ,      256 , 19956.1505 ,  83.81
   2097152 ,      512 , 18697.8607 ,  83.82
   2097152 ,     1024 , 19207.5035 ,  83.77
   4194304 ,        8 ,  4464.9136 ,  83.79
   4194304 ,       32 , 14524.8230 ,  83.82
   4194304 ,       64 , 22946.7780 ,  83.80
   4194304 ,      128 , 26678.6082 ,  83.79
   4194304 ,      256 , 27278.2516 ,  83.79
   4194304 ,      512 , 23637.8716 ,  83.82
   4194304 ,     1024 , 24568.3230 ,  83.81
